Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1898.0394897987048
FDW14,OUT017,1089.981550663745
NCN55,OUT010,2316.1912242346343
FDQ58,OUT017,2133.843481244414
FDY38,OUT027,5107.521489515815
FDH56,OUT046,1948.247086868988
FDL48,OUT018,1254.142251984178
FDC48,OUT027,2860.4530089982873
FDN33,OUT045,1364.1788250346094
FDA36,OUT017,2648.561082799678
FDT44,OUT017,1393.7750407224453
FDQ56,OUT045,1181.7619000637746
NCC54,OUT019,2570.4132491566725
FDU11,OUT049,1972.531301003925
DRL59,OUT013,503.00773383856745
FDM24,OUT049,2506.9369003027637
FDI57,OUT045,3036.5218973249166
DRC12,OUT018,3535.0263369793083
NCM42,OUT027,3271.784983333542
FDA46,OUT010,1398.933594841731
FDA31,OUT013,2219.168374412091
NCJ31,OUT035,3363.150318950883
FDG52,OUT046,808.5182177128745
NCL19,OUT019,1310.9189677620097
FDS10,OUT035,2727.4912293888647
FDX22,OUT010,1996.7992793190542
NCF19,OUT035,646.7680294709
NCE06,OUT046,2522.414603024252
DRC27,OUT046,3926.840915024146
FDE21,OUT035,1754.2746385525388
NCR42,OUT019,-480.0020127449935
FDX51,OUT018,3626.729083221606
NCR06,OUT018,1213.8769859679674
FDU31,OUT027,5025.448949910262
FDU59,OUT017,2126.383845515629
FDR03,OUT027,4858.572976360317
FDS49,OUT027,2732.018787121701
FDD48,OUT010,432.3603518576342
NCF18,OUT017,2556.800293476881
NCD43,OUT027,3196.5718354206174
NCD54,OUT018,2739.8804316997343
FDY19,OUT010,433.6141706665321
NCY54,OUT017,2112.277633513573
NCL19,OUT018,2790.588352968939
FDP23,OUT010,2024.0202949068612
FDC26,OUT013,1209.1096622552068
FDR14,OUT010,-922.5665945137365
NCS41,OUT035,2724.7600891991897
FDF41,OUT035,3601.971153446496
FDU34,OUT046,1989.7422820341353
DRH11,OUT046,977.2945222669596
FDM03,OUT013,1128.5483810781607
FDS31,OUT017,2535.3404288594793
FDJ20,OUT017,1512.8770869536484
FDV44,OUT027,4545.933296850581
FDG02,OUT049,3158.0933370832927
FDA09,OUT013,2424.1308068909457
FDT04,OUT013,92.4102218556036
FDL58,OUT019,3067.8840130041917
FDE52,OUT045,1448.9458113367064
FDW12,OUT035,2227.347872984832
FDL51,OUT017,3053.9548237728086
NCY42,OUT027,3789.011237662895
FDR07,OUT017,1103.3063811314923
FDN40,OUT045,2265.758706149519
FDB35,OUT027,2969.0094641543333
FDA22,OUT017,2172.1813694317398
NCL06,OUT046,4129.187446281128
FDI35,OUT013,2440.876214711191
NCW42,OUT045,3373.7653074796162
NCX06,OUT049,2997.7545115564035
FDC37,OUT027,3251.389356563789
FDZ14,OUT018,2450.0855140887224
DRG49,OUT049,3970.127213813398
NCG06,OUT045,3967.829155443199
DRC36,OUT045,2758.5393775690773
FDV21,OUT019,543.6268385235448
FDB53,OUT046,2242.1321796081656
DRP47,OUT019,2667.3070505816586
FDA14,OUT013,1833.5235418733291
DRC24,OUT035,2349.27497948401
FDW21,OUT018,2190.6316461511888
NCH29,OUT046,1632.0359165221298
FDU58,OUT013,2636.8662414351
FDY27,OUT017,2455.112154275588
FDV56,OUT035,1705.6045073473097
FDT59,OUT046,3747.496582161022
FDB23,OUT046,3738.872246943609
FDR49,OUT045,508.37308479109106
FDB03,OUT010,2084.175127632072
FDN39,OUT045,2554.844536129803
FDX02,OUT027,4996.177942468108
FDQ16,OUT027,3228.697588001288
FDU35,OUT018,1981.2284733277006
NCT29,OUT013,1467.3238410279564
FDZ27,OUT046,907.8143304288196
FDN57,OUT017,1827.797144777719
FDA03,OUT018,2810.307938432433
FDZ36,OUT045,2872.1651135304196
NCU05,OUT013,839.7184980898694
FDT39,OUT018,2969.110577974364
FDK60,OUT017,1135.549098573365
FDZ25,OUT017,2382.0713275211992
FDG12,OUT046,2134.116579163929
DRB01,OUT019,1909.6263906675604
NCC43,OUT027,5346.266177456237
FDX13,OUT019,2872.0077977542906
FDM22,OUT049,1037.9422124480266
FDJ03,OUT027,2308.317698735929
FDU14,OUT018,4340.858151233071
FDB33,OUT010,1177.8992082506797
FDP27,OUT046,2936.1214721049373
FDO38,OUT010,-285.1368060335759
FDE28,OUT027,5049.071943135466
